module,line,category,reachability,hit_count,reason,closure_plan,owner,date,waiver,source_text
bp.v,73,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire rd_hit1 = valid1[rd_idx] && (tag1[rd_idx] == rd_tag);
bp.v,77,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire predict_from_way0 = rd_hit0 && counter0[rd_idx][1];
bp.v,78,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire predict_from_way1 = rd_hit1 && counter1[rd_idx][1];
bp.v,88,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire wr_hit0 = valid0[wr_idx] && (tag0[wr_idx] == wr_tag);
bp.v,89,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire wr_hit1 = valid1[wr_idx] && (tag1[wr_idx] == wr_tag);
bp.v,98,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire wr_hit = wr_hit0 | wr_hit1;
bp.v,126,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,if (wr_way == 1'b1) begin
bp.v,127,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,valid1[wr_idx]   <= 1'b1;
bp.v,128,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,tag1[wr_idx]     <= wr_tag;
bp.v,129,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,target1[wr_idx]  <= upd_target;
bp.v,130,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,counter1[wr_idx] <= cnt_next;
bp.v,131,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,end else begin
bp.v,132,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,valid0[wr_idx]   <= 1'b1;
bp.v,133,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,tag0[wr_idx]     <= wr_tag;
bp.v,134,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,target0[wr_idx]  <= upd_target;
bp.v,135,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,counter0[wr_idx] <= cnt_next;
bp.v,137,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,lru[wr_idx] <= lru_next;
cdec.v,109,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b110: begin
cdec.v,111,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_lwsw[11:5], rs2_p, rd_rs1_p, 3'b010, imm_lwsw[4:0], `OPC_STORE};"
cdec.v,124,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b001: begin
cdec.v,126,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_cj[20], imm_cj[10:1], imm_cj[11], imm_cj[19:12], 5'd1, `OPC_JAL};"
cdec.v,133,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b011: begin
cdec.v,134,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (rd_rs1_5 == 5'd2) begin
cdec.v,136,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (cinstr[12] == 1'b0 && cinstr[6:2] == 5'b0) illegal = 1'b1;
cdec.v,137,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {imm_addi16sp, 5'd2, 3'b000, 5'd2, `OPC_OP_IMM};"
cdec.v,138,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,end else begin
cdec.v,140,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (rd_rs1_5 == 5'd0) illegal = 1'b1;
cdec.v,141,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,else if (cinstr[12] == 1'b0 && cinstr[6:2] == 5'b0) illegal = 1'b1;
cdec.v,142,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {imm_lui, rd_rs1_5, `OPC_LUI};"
cdec.v,148,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,2'b00: begin
cdec.v,150,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (cinstr[12]) illegal = 1'b1;    // RV32 不允許 shamt>=32
cdec.v,151,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {7'b0, shamt, rd_rs1_p, 3'b101, rd_rs1_p, `OPC_OP_IMM};"
cdec.v,153,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,2'b01: begin
cdec.v,155,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (cinstr[12]) illegal = 1'b1;
cdec.v,156,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {7'b0100000, shamt, rd_rs1_p, 3'b101, rd_rs1_p, `OPC_OP_IMM};"
cdec.v,158,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,2'b10: begin
cdec.v,160,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_addi, rd_rs1_p, 3'b111, rd_rs1_p, `OPC_OP_IMM};"
cdec.v,165,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"3'b000: expanded = {7'b0100000, rs2_p, rd_rs1_p, 3'b000, rd_rs1_p, `OPC_OP};  // SUB"
cdec.v,166,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"3'b001: expanded = {7'b0000000, rs2_p, rd_rs1_p, 3'b100, rd_rs1_p, `OPC_OP};  // XOR"
cdec.v,167,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"3'b010: expanded = {7'b0000000, rs2_p, rd_rs1_p, 3'b110, rd_rs1_p, `OPC_OP};  // OR"
cdec.v,168,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"3'b011: expanded = {7'b0000000, rs2_p, rd_rs1_p, 3'b111, rd_rs1_p, `OPC_OP};  // AND"
cdec.v,174,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b101: begin
cdec.v,176,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_cj[20], imm_cj[10:1], imm_cj[11], imm_cj[19:12], 5'd0, `OPC_JAL};"
cdec.v,178,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b110: begin
cdec.v,180,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_cb[12], imm_cb[10:5], 5'd0, rd_rs1_p, 3'b000,"
cdec.v,181,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"imm_cb[4:1], imm_cb[11], `OPC_BRANCH};"
cdec.v,196,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (cinstr[12]) illegal = 1'b1;     // RV32 不允許 shamt>=32
cdec.v,200,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b010: begin
cdec.v,202,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (rd_rs1_5 == 5'd0) illegal = 1'b1;
cdec.v,203,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {imm_lwsp, 5'd2, 3'b010, rd_rs1_5, `OPC_LOAD};"
cdec.v,210,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (rd_rs1_5 == 5'd0) illegal = 1'b1;     // reserved
cdec.v,211,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {12'b0, rd_rs1_5, 3'b000, 5'd0, `OPC_JALR};"
cdec.v,222,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,end else begin
cdec.v,224,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {12'b0, rd_rs1_5, 3'b000, 5'd1, `OPC_JALR};"
cdec.v,226,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,end else begin
cdec.v,228,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,if (rd_rs1_5 == 5'd0) illegal = 1'b1;     // hint
cdec.v,229,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"else expanded = {7'b0, rs2_5, rd_rs1_5, 3'b000, rd_rs1_5, `OPC_OP};"
cdec.v,233,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,3'b110: begin
cdec.v,235,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,"expanded = {imm_swsp[11:5], rs2_5, 5'd2, 3'b010, imm_swsp[4:0], `OPC_STORE};"
cdec.v,237,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,default: illegal = 1'b1;        // 浮點 / RV64-only
core.v,36,csr_irq_trap,reachable,0,Not exercised by the non-privileged random seed ladder; needs directed CSR/trap/IRQ tests.,"Add CSR read/write, mret, trap-entry/exit, and IRQ timing directed tests; rerun coverage.",DV,2026-06-07,none,"input             irq_external_pulse,"
core.v,70,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg         pc_redirect;
core.v,71,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg  [31:0] redirect_target;
core.v,73,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire        flush_if_next; // bubble next-cycle IF/EX
core.v,76,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        bp_predict_taken;
core.v,77,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire [31:0] bp_predict_target;
core.v,78,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        bp_upd_valid;
core.v,80,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        bp_upd_taken;
core.v,83,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire [31:0] ras_top;
core.v,84,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        ras_push;
core.v,86,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        ras_pop;
core.v,145,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire if_is_ret_32  = (instr_assembled[6:0]  == 7'b1100111) &&  // JALR opcode
core.v,149,rv32c_corner,reachable,0,Current random grammar uses only a small legal compressed subset; many legal/illegal compressed encodings are unhit.,Add directed RV32C decode tests for each quadrant/funct3 and illegal/reserved encodings.,DV,2026-06-07,none,wire if_is_ret_16  = is_16bit_w && (cinstr == 16'h8082);
core.v,150,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire if_is_ret     = if_is_ret_32 || if_is_ret_16;
core.v,152,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        ras_valid      = (ras_top != 32'h0);
core.v,153,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        ras_predict_ret = if_is_ret && ras_valid && !any_stall && !pc_redirect;
core.v,230,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        if_ex_pred_taken;
core.v,231,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        if_ex_pred_ras;
core.v,232,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,reg [31:0] if_ex_pred_ras_target;
core.v,246,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_instr      <= 32'h0;
core.v,247,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_pc         <= 32'h0;
core.v,248,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_valid      <= 1'b0;
core.v,249,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_pred_taken <= 1'b0;
core.v,250,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_pred_ras   <= 1'b0;
core.v,251,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,if_ex_is_16bit   <= 1'b0;
core.v,274,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,"wire        id_is_branch, id_branch_invert;"
core.v,279,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire        id_is_csr;
core.v,284,csr_irq_trap,reachable,0,Not exercised by the non-privileged random seed ladder; needs directed CSR/trap/IRQ tests.,"Add CSR read/write, mret, trap-entry/exit, and IRQ timing directed tests; rerun coverage.",DV,2026-06-07,none,wire        id_is_mret;
core.v,353,hazard_forwarding,reachable,0,Random seeds do not guarantee every forwarding/stall priority combination.,"Add directed load-use, EX/MEM vs WB forwarding priority, and wrong-path suppression tests.",DV,2026-06-07,none,`WB_SEL_PC4  : ex_mem_fwd_val = ex_mem_pc_plus_4_r;
core.v,354,hazard_forwarding,reachable,0,Random seeds do not guarantee every forwarding/stall priority combination.,"Add directed load-use, EX/MEM vs WB forwarding priority, and wrong-path suppression tests.",DV,2026-06-07,none,`WB_SEL_CSR  : ex_mem_fwd_val = ex_mem_csr_rdata_r;
core.v,402,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire branch_taken = id_is_branch && (id_branch_invert ^ branch_cond);
core.v,425,bp_ras_redirect,reachable,0,Not exercised by the current random grammar because it has no looped predictor training or return stack sequence.,Add directed BP/RAS train/mispredict/return tests and include them in coverage merge.,DV,2026-06-07,none,wire        ex_bp_upd_valid  = if_ex_valid && (id_is_branch | id_is_jal)
core.v,538,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire        id_csr_we_logic = id_is_csr &&
core.v,541,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire [31:0] csr_rdata;
core.v,542,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,"wire [31:0] mtvec_o, mepc_o;"
core.v,543,csr_irq_trap,reachable,0,Not exercised by the non-privileged random seed ladder; needs directed CSR/trap/IRQ tests.,"Add CSR read/write, mret, trap-entry/exit, and IRQ timing directed tests; rerun coverage.",DV,2026-06-07,none,wire        irq_pending;
core.v,546,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,wire        wb_csr_we;
core.v,547,csr_irq_trap,reachable,0,Not exercised by the non-privileged random seed ladder; needs directed CSR/trap/IRQ tests.,"Add CSR read/write, mret, trap-entry/exit, and IRQ timing directed tests; rerun coverage.",DV,2026-06-07,none,"wire        wb_trap_enter, wb_trap_exit;"
core.v,603,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg [31:0] ex_mem_csr_rdata_r;
core.v,613,csr_irq_trap,reachable,0,Not exercised by the non-privileged random seed ladder; needs directed CSR/trap/IRQ tests.,"Add CSR read/write, mret, trap-entry/exit, and IRQ timing directed tests; rerun coverage.",DV,2026-06-07,none,reg        ex_mem_is_mret_r;
core.v,614,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        ex_mem_csr_we_r;
core.v,618,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        ex_mem_is_branch_taken_r;
core.v,619,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        ex_mem_is_jal_r;
core.v,620,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        ex_mem_is_jalr_r;
core.v,625,directed_gap,reachable,0,Line was not hit by current seed ladder.,Add directed or random stimulus that targets this line; rerun coverage.,DV,2026-06-07,none,reg        ex_mem_mispredict_r;
